Title,Author,Date,Excerpt
How Nigerians can sing a new song in 2022,,"Jan 02, 2022",It was endless back-slapping yesterday as Nigerians joined the rest of the world to wish one another a happy new...
"Politicians in deft, desperate moves as 2023 nears",,"Jan 02, 2022",The year 2022 is the eve of the 2023 general election when the 18 recognised political parties will be conducting...
Five ways to improve Nigeria’s trade balance,,"Jan 02, 2022","Nigeria’s trade profile was characterised by high imports and less exports resulting in a trade imbalance in 2020, as the..."
"In New Year message, Buhari promises to seek support to tackle insecurity",,"Jan 01, 2022",President Muhammadu Buhari has said his administration would seek collaboration with international partners and neighboring countries by exploring diverse strategies...
Eight tech leaders look into Nigerian ecosystem in 2022,,"Jan 01, 2022","Nigerian tech space was the most attractive ecosystem for investors in 2021, receiving $1.7 billion out of the over $4.2..."
Small business Saturday new year’s edition,,"Jan 01, 2022","  As we ring in a new year, we are back with our Small Business Saturday feature, highlighting Made in..."
"Apapa: An app breathes life into a ‘Ghost town’, limits extortions",,"Dec 31, 2021",The network of bridges in Apapa can be felt vibrating for a few seconds every few minutes while walking across...
More money for power sector as DisCos ramp up collection,,"Dec 31, 2021","Nigeria’s electricity distribution companies (DisCos) have vastly improved their ability to collect revenue from customers, improving liquidity in a cash-strapped..."
Why Lagos-Ibadan Expressway is project to watch,,"Dec 31, 2021","For several reasons, the Lagos-Ibadan Expressway is a major infrastructure project to watch in 2022. One of the reasons is..."
2021 fails to meet manufacturers’ expectations,,"Dec 31, 2021",The year 2021 started with high hopes especially for manufacturers as they expected a rebound from the impact of the...
$1.5bn Lekki Port to put Nigeria at par with African peers,,"Dec 30, 2021","Expectations are high among shippers and manufacturers that depend on seaports to bring in raw materials and export finished products,..."
Nigerian start-ups to watch,,"Dec 30, 2021","Despite 2021 being a tough year for businesses globally owing to the COVID-19 pandemic’s impact, start-ups in Africa’s biggest economy..."
Oil workers face job loss on IOCs’ divestment,,"Dec 30, 2021",Some Nigerian oil workers at the local units of International Oil Companies (IOCs) are staring at a bleak future as...
Industry to see uniform reporting of PFAs’ performance,,"Dec 30, 2021","In 2022, contributors and retirees would begin to see clearly the difference in performance of all the registered Pension Fund..."
Nigeria stocks’ gain nears N1trn mark in 2021,,"Dec 30, 2021","The year 2021 has indeed been a momentous one for the Nigerian stock market, but many stocks far outperformed the..."
"Outlook for 2022: Telcos to focus on cloud, Internet of things, 5G adoption",,"Dec 30, 2021","After emerging from the COVID-19 pandemic, the Nigerian telecom industry is entering a new phase and will be faced with..."
‘Cheap Lake rice’ eludes Lagosians as debt stalls mill renovation,,"Dec 29, 2021","The last time a bag of rice rolled out of the Imota Rice Mill was in 2019. Two years later,..."
11 key moments of 2021,,"Dec 29, 2021","For many, the outgoing year cannot end quickly enough. 2021 was the year of firsts, even if many were unpleasant..."
"Obasanjo replies Clark, says he granted 13% statutory derivation to Niger Delta",,"Dec 29, 2021","Olusegun Obasanjo, a former president, on Tuesday, replied Edwin Clark, leader of Niger Delta, over allegations of his hatred against..."
Outlook for 2022: Tech founders talk scale after record funding year,,"Dec 28, 2021","Nigerian start-ups cut the biggest slice of a record $4.2 billion investment in Africa tech companies in 2021, marking a..."
COVID-19: Travel trends to look out for in 2022,,"Dec 28, 2021",As the world battles a new variant of COVID-19 just a few months after it seemed as though global travel...
NIGERIA IN 2022: Five high-yield investment strategies in 2022,,"Dec 28, 2021",As the real return on investment across many Nigerian instruments remained in the negative following a high inflation rate that...
Ten most rated Nigerian movies on Netflix in 2021,,"Dec 28, 2021","Since its official expansion into Nigeria’s film industry in 2020, Netflix, an American subscription streaming service and production company, has..."
"Make our burden lighter in 2022, Nigerians beg FG",,"Dec 27, 2021","Burdened as they have been in the outgoing year, Nigerians are begging President Muhammadu Buhari to lighten their burden in..."
NIGERIA IN 2022: What to expect from economy,,"Dec 27, 2021","The year 2022 will probably not be significantly different from the current year as widespread poverty, high unemployment, and falling..."
Nigeria’s 2021 household consumption rises most in 11yrs - FBNQuest,,"Dec 26, 2021","Nigeria’s real household consumption as a proportion of Gross Domestic Product (GDP) has risen to 76 percent in 2021, the..."
Major events that shaped education in 2021,,"Dec 26, 2021",The Nigerian education sector was among the other sectors adversely affected by the impact of the COVID-19 pandemic. The lockdown...
2021 IN REVIEW: Telecom sector in 5 numbers,,"Dec 26, 2021","The Nigerian telecommunications industry had a most remarkable year in 2021. For operators, the year had begun with uncertainty over..."
Private investors place big bets on Nigeria’s healthcare despite sector crisis,,"Dec 25, 2021",Nigeria’s healthcare growth in 2021 has been a mix of past failures rising back to haunt the country’s defence in...
Nigeria's stock market weakens ahead of Christmas holiday,,"Dec 24, 2021","Nigeria stock market decreased by 0.21 percent in the trading week ended Friday, December 24 after three days of losses..."
Nigeria’s N250bn sukuk oversubscribed 346%,Onyinye Nwachukwu,"Dec 24, 2021","Investors again jostled for Nigeria’s N250 billion Sukuk bonds, pushing subscription levels to a record 346 percent, the Debt Management..."
Christmas meal rises most in 10yrs on surging food prices,Josephine Okojie,"Dec 24, 2021","Food on the Christmas menu will cost Nigerians an average of 50 percent more this year, the biggest annual increase..."
"2021 IN REVIEW: How inflation, exchange rate stalled real estate sector’s growth",Chuka Uroko,"Dec 24, 2021","After the gloom and inertia that defined the real estate sector in 2020 due to the negative impact of COVID-19,..."
Titan Trust buys 89.83% of Union Bank’s share capital,Hope Moses-Ashike,"Dec 23, 2021","Titan Trust Bank (TTB), Nigeria’s newest national commercial bank, on Thursday acquired majority stake in Union Bank plc, one of..."
Six numbers that shaped Nigeria’s 2021 debt profile,Tochukwu Okafor,"Dec 23, 2021","The Nigerian government was saddled with a debt stock of N38 trillion as of September 2021, which represents a N5..."
Burger King Whopper index shows naira overvalued,,"Dec 23, 2021","The naira is overvalued by 11.8 percent, a BusinessDay analysis using the price of a Burger King Whopper as an..."
Nigeria's 10 most profitable companies in 2021,,"Dec 23, 2021",Nigeria’s biggest publicly listed companies were faced with a myriad of challenges in 2021 with the COVID-19 pandemic and currency-induced...
"Again, Nigeria misses from oil price gain as Shell shuts Forcados export terminal",,"Dec 22, 2021","Shell has declared force majeure on shipments of crude oil from Forcados, one of Nigeria’s largest export terminals and the..."
Naira stable in H2’21 on improved external reserves,,"Dec 22, 2021","Nigeria’s naira/US$ exchange rate was relatively stable in the second half (H2) of 2021, driven by improved external reserves, according..."
Nigeria’s debt binge lacked ambition in 2021,,"Dec 22, 2021","For a country with Nigeria’s infrastructure deficit, the government should borrow more given its paltry revenues but its utilisation of..."
Nigerians tighten belts for Christmas as inflation bites,,"Dec 22, 2021",Chinyere Chukwu has visited two markets in Lagos in search of a bag of rice and a carton of vegetable...
Here are 11 most dangerous roads to avoid this Christmas,,"Dec 21, 2021","In a bid to ensure the safety of Nigerians, Nextier SPD, an international development consulting firm based in Nigeria, has..."
Omicron: Moderna booster jabs 37% effective,,"Dec 21, 2021",Results from Moderna’s early trial to build an Omicron-specific booster dose have shown that the prototype of the authorised booster...
The economy in 10 charts,,"Dec 21, 2021",The Nigerian economy recorded some major events that shaped the out-going year. There were few bright spots as normalcy returned...
2021 IN REVIEW: Six themes that shaped the economy in 2021,,"Dec 21, 2021",There were bright spots for Nigeria in 2021 as the economy recovered from the COVID-induced disruptions of 2020. But there...
Moderna second doses delayed on NAFDAC screening - Lagos,,"Dec 20, 2021",Those waiting to receive their second doses of the Moderna vaccine in Lagos will get it as quickly as the...
FG eyes N250bn sukuk to meet 2021 borrowing target,,"Dec 20, 2021",The Debt Management Office (DMO) is banking on the N250bn sukuk issuance to enable it to comfortably meet or even...
Lack of political will drags Nigeria's energy gains in 2021,,"Dec 19, 2021","The year 2021 was predicted to herald a return to normalcy marked by oil price recovery, accelerated push towards energy..."
Pension sector braces for competition on new investors,,"Dec 19, 2021",Nigeria’s pension industry will see increased competition in service delivery and returns on investment after the ongoing recapitalisation of the...
BusinessDay wins Best Designed Media Website at 30th DAME awards,,"Dec 19, 2021",BusinessDay won the best designed media website at the Diamond Awards for Media Excellence (DAME) held at the Muson Centre...
COVID-19: Nigeria fails on vaccination target as bottlenecks persist,,"Dec 19, 2021","  Nigeria has missed its target to vaccinate 40 percent of the eligible population, a situation that puts the country..."
Bleak yuletide as low purchasing power hits Nigerian households,,"Dec 19, 2021","Complaints and cries of agony are heard from every part of Nigeria. Citizens are lamenting hard times. Everywhere one turns,..."
‘FG must take tough decisions to resolve Nigeria's security crisis’,,"Dec 19, 2021","President Muhammadu Buhari has been advised to take tough decisions to end the high level of insecurity in the country,..."
Recharge card sellers struggle to survive as buyers move online,,"Dec 18, 2021","In 2010, Nonso Onyeka, a recharge card seller would be able to make up to N150,000 in revenue because the..."
What to look out for in an artist,BusinessDay,"Dec 18, 2021",“You’re an artist when you say you are. And you’re a good artist when you make somebody else experience or...
Illegal betting markets yield $1.7tr revenue annually,,"Dec 17, 2021",A huge amount of illegal sports betting is estimated to be happening every year that can attract organized crime and...
Competition grows in pension sector as new investors take positions,,"Dec 17, 2021","The nation’s pension industry will see increased competition in service delivery, returns on investment after the ongoing recapitalisation of the..."
Race for investment dollars belongs to environment-conscious firms,,"Dec 17, 2021","The increasing scrutiny by investors and multilateral organisations on a company’s environmental, social and governance risks before making investment decisions..."
Nigeria’s COVID-19 cases hit 9-month high,,"Dec 17, 2021","Nigeria’s COVID-19 cases on Wednesday hit a nine-month high as 1,424 new cases were confirmed. Lagos, the epicentre of the..."
Nigeria struggles as Saudi achieves first budget surplus in 8yrs,,"Dec 17, 2021","Saudi Arabia, the world’s largest crude oil exporter, is hoping to post its first budget surplus in nearly a decade..."
"Nigeria, 73 other countries to benefit from $93bn IDA package – World Bank",,"Dec 16, 2021",Nigeria is among the 74 countries that would benefit from a $93 billion replenishment package of the World Bank’s International...
Airtel Africa’s mobile money attracts $50m from Abu Dhabi-based Chimera,,"Dec 16, 2021","Airtel Africa, one of the continent’s leading providers of telecommunications and mobile money services, has announced the introduction of Chimera..."
"Lawyer in Ecobank’s tango with Honeywell, Ogunba got back rank of SAN in 2018",,"Dec 15, 2021","Kunle Ogunba, counsel to Ecobank in the dispute between it and Honeywell had his rank of senior advocate of Nigeria..."
Resilient Africa plans sale of malls on fading buying power,,"Dec 15, 2021","Resilient Africa, a major retail space developer, says it is perfecting plans to sell three of its malls in Nigeria..."
Nigeria’s Plans for Additional Eurobond Sale Off on Omicron,,"Dec 15, 2021","Nigeria suspended plans to sell additional Eurobond this year after the outbreak of the omicron variant, according to the head..."
Nigeria Air has no structure four months to kick off,,"Dec 15, 2021","Four months to the announced date by the Federal Government that a national carrier, Nigeria Air, would commence operations, BusinessDay’s..."
"How targeted, low-cost financing can tackle housing deficit",,"Dec 15, 2021","At various intervention levels, the housing deficit in Nigeria has seen different approaches to tackling it with little or no..."
'Nigeria has six years before electric cars dampen oil demand',,"Dec 15, 2021",Nigeria may have just less than six years till its crude oil is no longer a priority in the international...
EFCC Probes unnamed State Governor for cashing N60bn in 6 years,,"Dec 14, 2021",Nigeria is investigating a serving state governor who has withdrawn more than 60 billion naira ($146 million) in cash since...
"Nigeria, other African nations removed from U.K Red list",,"Dec 14, 2021","Nigeria, Angola, Botswana, Eswatini, Lesotho, Malawi, Mozambique, Namibia, South Africa, Zambia and Zimbabwe have been removed from the UK’s red..."
Mafab: The little known winner of 5G licence,,"Dec 14, 2021",The entire telecommunication industry has been buzzing with talk about the emergence of the hitherto unknown Mafab Communications Limited and...
Petrol subsidy spend equals 48% of 2021 tax income,,"Dec 14, 2021","Between January and September this year, the Federal Government of Nigeria collected N2.81 trillion in taxes but spent over N1.004..."
"Nigeria returns to top Africa oil producer position in December, hits 1.28mb/d",,"Dec 14, 2021","Nigeria has returned to its former spot as Africa’s top oil producer surpassing Libya, according to the latest Organisation of..."
Covid-19: Omicron pushes Nigeria’s average cases up 451%,,"Dec 13, 2021","From a daily average of 74 cases seen in the first week of December, Nigeria’s current Covid-19 cases have shot..."
What MTN’s public offer holds for retail investors,,"Dec 13, 2021","With MTN’s move to sell 90 percent of its public offer of 575 million shares in Nigeria to retail investors,..."
Flour Mills to escrow N900m in acquisition of Honeywell,,"Dec 13, 2021",Flour Mills Nigeria plc (FMN) will press ahead with its N80 billion acquisition of the flour mills unit of Honeywell...
"Updated: Nigeria reciprocates, bans flights from Saudi Arabia, UK, Canada on Omicron",,"Dec 12, 2021","With effect from Tuesday, December 14, the Federal Government will restrict airlines coming from Canada, the United Kingdom and Saudi..."
Why Nigerians must vote in 2023,,"Dec 12, 2021","“I can’t remember when last I voted in Nigeria,” a female private school principal in Lagos told BusinessDay on condition..."
More pain for Nigerian states as FAAC shrinks by N68bn in November,,"Dec 11, 2021",The ability of Nigerian states and other tiers of government to meet their various obligations is under more risk as...
IHS risks losing N380bn tower deal with MTN Nigeria over dollar pricing,,"Dec 11, 2021","IHS, the largest tower company in Africa, may lose an eight-year-old N380 billion contract after MTN Nigeria required the deal..."
"Again, Emirates suspends flights to Nigeria over UAE-Nigeria diplomatic row",,"Dec 10, 2021",The United Arab Emirates (UAE) has rejected the directive from Nigeria that puts on hold Emirates flights suspension while restricting...
Access Bank to seek shareholders’ approval for HoldCo structure,,"Dec 10, 2021","The shareholders of Access Bank Plc, Nigeria’s largest bank by asset will on Thursday December 16 at a Court-Ordered Meeting..."
MTN public offer: We are well-positioned for long term – Nigerian CEO,,"Dec 10, 2021",It is no small feat to find a company in the Nigerian stock exchange that is offering strong dividends and...
"Rising oil prices, shipping hitches worsen malaria in Nigeria",,"Dec 10, 2021","Rising oil prices are driving up the cost of mosquito nets produced using materials derived from crude oil, and orders..."
"Nigeria reverses approval, limits Emirates flights",,"Dec 10, 2021",The federal government of Nigeria has withdrawn approval granted to Emirates Airlines for the winter schedule. A letter by Musa...
Jega Ex-INEC chair moans over Nigeria’s cash and carry judges,,"Dec 09, 2021","The outspoken but widely regarded former chairman of Nigeria’s Independent National Electoral Commission (INEC), Attahiru Jega, has lashed out at..."
How Nigeria’s external debt stock ballooned to $70bn,,"Dec 09, 2021",The World Bank international debt report 2022 has provided deeper insights into how Nigeria’s total external debt stock ballooned from...
Christmas shopping in Dubai drives demand for dollar,,"Dec 09, 2021",Christmas shopping in Dubai occasioned by Emirates Airline resumption of flight between Dubai and Nigeria is now driving demand for...
Gas producers squeezed after FG’s pricing intervention,,"Dec 09, 2021",The reduction of gas prices from $2.50/MMBtu to $1.50/MMBtu by the Federal Government to keep electricity tariff low is taking...
Rising import worsens Nigeria’s trade deficit,,"Dec 08, 2021","Nigeria’s trade balance worsened in the third quarter of 2021 as imports surged and the trade deficit hit N3.02 trillion,..."
Nigeria raises most startup capital but isn’t Africa’s prime investment destination,,"Dec 08, 2021",More than $4 billion of funding has been raised by start-ups in Africa through 754 deals and Nigeria ranks highest...
Coronavirus induced school closures cost students $17trn in lifetime earnings - World Bank,,"Dec 08, 2021","The COVID-19 pandemic-related school closures have been estimated to cost this generation of students $17 trillion in lifetime earnings, or..."
COVID-19 protocols: FG to ban airlines over non-compliance,,"Dec 08, 2021","The Federal Government has said that non-compliance to pre-boarding requirements would attract a penalty of $3,500 per passenger while airlines..."
Equinix to buy MainOne in push for Africa's data centre market,,"Dec 07, 2021","Equinix, a US-based global infrastructure company, is perfecting plans to acquire MainOne, one of the largest data centres in West..."
FX speculators selling off hoarded cash say senior Nigerian bankers,,"Dec 07, 2021",Senior Nigerian bankers say currency speculators are now beginning to bring out the foreign exchange they are hoarding to the...
Haulage cost in yuletide stable first time in 8 years,,"Dec 07, 2021","Two weeks to this year’s Christmas and New Year celebrations, the cost of moving containers from Apapa and Tin-Can Island..."
"MTN, Airtel can’t replicate Safaricom's success in Nigeria with PSBs - Report",,"Dec 07, 2021","MTN Nigeria and Airtel are putting plans in place to go live as payment service banks (PSBs) in 2022, once..."
Nigeria eyes fresh $2.18bn Eurobond issuance ,,"Dec 06, 2021",Nigeria’s Federal Government is closely monitoring the market for an additional $2.18bn Eurobond issue after the September 2021 successful deal...
Nigeria may hike policy rate to 12.5% in 2022 on slowing inflation – Rencap,,"Dec 06, 2021",A more secure growth recovery and slowing inflation would give Nigeria scope for a one percentage point (1-ppt) policy rate...
UK travel ban: Airlines risk N965m daily,,"Dec 06, 2021",Airlines operating the Nigeria-London route could be losing about N965 million daily as a result of flight cancellations following the...
"AfDB’s Adesina calls travel ban apartheid against Africa, says it is endangering lives",,"Dec 06, 2021","The President of the African Development Bank, AfDB Dr. Akinwumi Adesina has likened the controversial travel ban imposed by the..."
Here are 10 frivolous projects in Nigeria’s 2022 budget,,"Dec 06, 2021","Despite Nigeria’s rising fiscal deficit, the decision of the federal government to include at least ten frivolous projects in its..."
Nigerians’ bid to migrate abroad don’t match visas granted,,"Dec 06, 2021","The number of Nigerians applying to migrate to the UK, US and Canada is on the rise but not as..."
"Rising debt, weak spending, low tax put Nigeria in trilemma",,"Dec 06, 2021",Nigeria’s rising debt combined with its weak spending and the difficulty in raising extra tax revenues means it faces a...
UK suspends visa applications in Nigeria,,"Dec 05, 2021",The British High Commission has suspended visa applications in Nigeria pending when the UK ban is lifted. In a letter...
"Nigeria's Covid-19 response: 5 things to know, do when travelling",,"Dec 05, 2021",The Presidential Steering Committee on COVID-19 has updated travel protocols for travellers as part of its efforts to contain the...
2023: Don’t sit on the fence,,"Dec 05, 2021",Nigerians have been advised to get involved in the electoral process in 2023 and not to adopt the past lackadaisical...
Omicron: UK adds Nigeria to its travel red list,,"Dec 04, 2021",Nigeria will be added from Monday to the red list of countries from where people arriving must quarantine in a...
Nigeria to begin rollout of COVID-19 booster shots December 10,,"Dec 04, 2021",Nigeria will begin the much-awaited administration of COVID-19 vaccine booster shots December 10 as Africa’s most populous nation moves to...
Why Nigeria will struggle to meet OPEC’s production quota,,"Dec 03, 2021","Some oil majors are excluding Nigeria from their capital expenditure budgets for 2022, others are divesting out of onshore assets..."
BUA Group set to list food businesses on Nigerian Exchange,,"Dec 03, 2021","BUA Group, Nigeria’s leading foods, infrastructure, mining and manufacturing conglomerate is at the verge of completing the processes to list..."
"Nigeria art, fashion, music take centre stage at Dubai Expo 2020",,"Dec 03, 2021","From a celebrated sculptor to its award-winning singer, Wizkid, to some of its best fashion designers, Nigeria’s creative talent is..."
Emirates ban: Nigerians’ visa applications to Egypt rise by 900%,,"Dec 03, 2021","Egypt’s ambassador to Nigeria, Ihab Moustafa Awad has disclosed that in the past, Egypt’s embassy in Abuja used to receive..."
Nigeria's COVID-19 cases ignore spike across Sub-Saharan Africa,,"Dec 03, 2021",The sharp spike seen in the spread of the new Omicron coronavirus variant in some sub-Saharan African countries is occurring...
Africa needs fresh $7.1trn to recover from pandemic - ECA,,"Dec 02, 2021",With its current population of 1.37 billion Africa will need a socio-economic stimulus worth $7.1 trillion to recover from the...
Moroccan firm acquires Nigeria’s Mouka Foam for $60m,,"Dec 02, 2021","Moroccan mattress maker Dolidol, backed by African private equity firm, Development Partners International (DPI), has signed a deal to acquire..."
How NCC moved 5G deadline after only MTN submitted bid,,"Dec 01, 2021",The Nigerian Communications Commission (NCC) was forced to move the November 24 deadline for the submission of bid and payment...
"Flights cancelled, ticket sales decline over Canada-Nigeria ban",,"Dec 01, 2021",Several airlines have cancelled flights from Canada and Nigeria following the decision of Canada to add Nigeria to its travel...
What to know about TIES loan,,"Dec 01, 2021","The Tertiary Institutions Entrepreneurship Scheme (TIES), an intervention scheme launched by the Central Bank of Nigeria (CBN), aims at harnessing..."
What to know as Nigeria detects COVID-19 Omicron variant,Temitayo Ayetoto-Oladehinde,"Dec 01, 2021","Nigeria has recorded its first cases of the new Omicron COVID-19 variant, days after it was first discovered in South..."
Nigeria's Lawmakers yet to pass World Bank’s $500m power grant,Oladehinde Oladipo,"Dec 01, 2021",The National Assembly is yet to pass the World Bank’s $500 million financing support to improve electricity distribution in Africa’s...
Lagos releases white paper on #EndSARS panel report,Joshua Bassey,"Nov 30, 2021",The Lagos State government has announced the release of the much-awaited White Paper on the #EndSARS Panel Report submitted to...
Nigerian air passengers to show 48-hour negative Covid test in new rules,Ifeoma Okeke,"Nov 30, 2021",Airline passengers will be required to either show proof of COVID-19 vaccination or provide a negative PCR test taken 48...
MTN pegs retail listing price at N169,Lolade Akinmurele,"Nov 30, 2021",MTN will sell shares of its Nigerian business at a discount to retail investors in a public offer today as...
Wizkid rakes in over N5.2bn from O2 Arena concert,Anthony Udugba,"Nov 30, 2021",Nigerian singer Ayodeji Balogun popularly known as Wizkid performed his ‘Made in Lagos’ concert in front of a sold-out crowd...
BusinessDay invites Nigeria’s fast-growing companies to apply for Africa ranking,,"Nov 30, 2021",The Financial Times (FT) and Statista are currently inviting companies based in Africa to register for recognition in the inaugural...
MTN to give investors 1 share for every 20 bought,,"Nov 30, 2021",MTN Group will give retail investors one share for every 20 shares they buy and hold for at least 12...
"CNG can save Nigeria N3trn, but infrastructure lacking",,"Nov 30, 2021",Switching from petrol to Compressed Natural Gas (CNG) can save Nigeria as much as N3 trillion yearly but this requires...
Seplat Energy announces plan to acquire Exxon's shallow water assets,,"Nov 29, 2021","Seplat Energy, Nigeria’s largest listed oil and gas firm by market value, has announced that it is in competitive discussion..."
Omicron variant: Emirates suspends flights to 3 southern African countries,,"Nov 29, 2021","Dubai International Airport-based Emirates Airline has suspended flights to three African countries, indefinitely. In a statement, the Gulf State carrier..."
"Slow take-off of livestock plan worsens woes of farmers, herders",,"Nov 29, 2021","Msughve Tsavsaa, a 35-year-old father of six, lost his home, his farmland and his leg after his community was attacked..."
Nigeria’s free trade zones crawling 29 years after,,"Nov 29, 2021",Nigeria has not derived any significant benefit from Free Trade Zones (FTZs) 29 years after the country adopted the model...
"APC to hold National Convention February 5, Presidential primaries third quarter of 2022",,"Nov 28, 2021","The All Progressives Congress (APC) has said its National Convention will now hold on February 5, 2022. BusinessDay also gathered..."
2023 elections: Nigeria back to pre-1999 era,,"Nov 28, 2021","This year marks 22 years since Nigeria returned to civil rule after years of military dictatorship that drained the economy,..."
"Should you be worried about Omicron, new covid variant?",,"Nov 27, 2021","The new Omicron coronavirus variant – identified first in South Africa, but also detected in Europe and Asia – is..."
"Despite FG's lift on sanctions, Emirates yet to announce flight resumption",,"Nov 27, 2021","A day after the federal government lifted sanctions on Emirates, the airline is yet to announce flight resumption. As at..."
"After Beta, S. Africa’s latest gift to the world is another frightening covid variant",,"Nov 27, 2021",South Africa shocked an already traumatized world in October last year when its scientists announced the discovery of a new...
Emefiele paints optimistic picture of Nigeria’s economy,,"Nov 27, 2021","Godwin Emefiele, governor of the Central Bank of Nigeria on Friday night said growth has returned to pre-pandemic levels. This,..."
The Top Eight Branding Mistakes Entrepreneurs Make,,"Nov 27, 2021","When you’re growing your own business, every error you make means money out of your pocket. So, why learn the..."
COVID-19: Should air travellers worry over new Omicron variant?,,"Nov 26, 2021","Since the first case of COVID-19 was discovered in China over a year ago, governments have imposed various restrictions, modifications..."
Oil gushing from Nigerian wellhead blasts hopes of those living nearby,,"Nov 26, 2021","Three weeks after the Santa Barbara wellhead failed, it is still blasting water, gas and oil across Nembe in Nigeria’s..."
MTN’s share sale oversubscribed as investors eye value,,"Nov 26, 2021",MTN’s sale of shares in its Nigerian unit to institutional investors has closed Friday with the telecommunication company recording an...
Global stocks and oil tumble on new coronavirus fears after new variant found,,"Nov 26, 2021","Stocks, Treasury yields and oil sank in early trading Friday while the yen jumped as a new Covid-19 strain discovered..."
Ties with global firms seen unlocking Nigeria’s pharma opportunities,,"Nov 26, 2021",Prospects of Nigeria’s pharmaceutical industry in attaining self-sufficiency could be realised if local producers build strong and productive synergy with...
Task before PDP’s new executive ahead inauguration,,"Nov 26, 2021","Ahead of the December 10, 2021, inauguration date for the newly elected members of the National Working Committee (NWC) of..."
Nembe oil leak: Local incapacity worsens spills,,"Nov 25, 2021","The oil spill at the Santa Barbara oil field, OML 29, located in Nembe Local Government Area of Bayelsa State,..."
"Oil firms ignore Nigeria, pump fresh dollars into Libya",,"Nov 25, 2021","Nigeria is struggling to attract investment into its energy sector, while Libya, a country that recently emerged from a decade..."
Retail rising but no jobs to show,,"Nov 25, 2021",New jobs created in the small-scale retail and trade sectors following COVID-19 pandemic have not been as productive with only...
World Bank flags Nigeria’s deteriorating fiscal position,,"Nov 24, 2021","Nigeria’s fiscal position is deteriorating resulting in higher debt and shrinking investments in human capital and infrastructures, the World Bank..."
"Price of cooking gas rises 63%, to last longer",,"Nov 24, 2021",Nigerians are facing tough times as average price for refilling a 12.5kg cylinder of Liquefied Petroleum Gas (cooking gas) has...
Rising food price and wellbeing of Nigerians,,"Nov 23, 2021","The welfare of Nigerians is deteriorating every day due to rising prices, especially that of food items in the market...."
CBN holds interest rate for 8th straight time on slowing inflation,,"Nov 23, 2021","The Central Bank of Nigeria (CBN) on Tuesday retained its benchmark interest rate at 11.5 percent on slowing inflation, in..."
Nigeria’s Venture capital deals now five times of FDI,,"Nov 23, 2021",Venture capital investment into Nigeria is now five times the amount of Foreign Direct Investment in Africa’s biggest economy. Venture...
"Maiduguri, epicentre of Boko Haram siege hit by worsening power outages",,"Nov 23, 2021",A whirring machine churns out prints at the Gaza Printing Press in the northeastern Nigerian city of Maiduguri while owner...
"Honeywell, Flour Mills N80bn merger to boost Nigeria’s food production",,"Nov 22, 2021","Honeywell Group Limited (HGL) and Flour Mills of Nigeria plc (FMN), Monday, announced the signing of an agreement that will..."
"MTN, Airtel to face stiff mobile money competition in Nigeria",,"Nov 22, 2021",Since the Central Bank of Nigeria (CBN) granted MTN Nigeria and Airtel Africa approval in principle for the operation of...
Blinken’s visit to Nigeria comes amid shrinking civic space,,"Nov 22, 2021","Antony Blinken’s, the US Secretary of State, visit to Nigeria came days after a leaked government panel report indicted the..."
Explainer: What are Payment Service Banks?,,"Nov 22, 2021","Payment Service Banks (PSBs), EFInA says, hold great potential to advance financial inclusion through their inherent strengths: large amounts of..."
Driving Payment-India as pioneer,BusinessDay,"Nov 22, 2021",Financial inclusion is critical to the Central Bank of Nigeria’s desire to expand the country’s financial ecosystem. The country continues...
"Debate over direct primaries puts Nigeria’s politicians, parties in quandary",Iwok Iniobong,"Nov 21, 2021",The recent passage of the Electoral Act Amendment Bill 2021 by Nigeria’s National Assembly inserting direct primaries as the legal...
"ASUU strike: Parents, students edgy as varsity lecturers kick",Obinna Emelike,"Nov 21, 2021","Francis Herbert, a father of five, whose two children are in two different Nigerian universities, is a sad man today...."
Off-grid energy investor All On signs $1m deal with Salpha Energy,Jamiu Tajudeen,"Nov 20, 2021","All On, a Shell-funded impact investment firm has announced on Friday, a $1 million investment in Salpha Energy Nigeria to..."
Fourth Wave: Covid mobile courts to begin stricter enforcement in Lagos from Monday,BusinessDay,"Nov 20, 2021","Health authorities in Lagos will commence stricter enforcement of existing covid-19 rules and introduce even more from Monday, November 22..."
$10bn annual food import bill is new threat to Nigeria’s economic recovery,BusinessDay,"Nov 20, 2021",Nigeria’s flagging economic recovery is facing a new threat after it emerged that Africa’s most populous nation may spend a...
The essence of how Wizkid made it in Lagos,Anthony Udugba,"Nov 20, 2021","Wizkid is projected by RollingStone, a global music magazine to be in the running for a Grammy nomination and may..."
African countries lose $5bn annually to dollar convertibility,,"Nov 19, 2021","African countries with 42 different currencies are losing $5 billion annually, as the cost of currency convertibility, Wamkele Mene, Secretary-General..."
Real estate emerges world’s most popular store of wealth,,"Nov 19, 2021",Countries store over 60% of wealth in real estate Two-thirds of global net worth is stored in real estate and...
Mo Abudu’s business becomes Harvard case study,,"Nov 18, 2021","Mo Abudu, the CEO of EbonyLife Group, is known for several firsts in the media space, and is adding another..."
Reps move to remove Code of Conduct Tribunal from executive control,,"Nov 18, 2021",The House of Representatives on Thursday took steps to remove the Code of Conduct Tribunal (CCT) from the control of...
"Aba-bound shoe materials, spare parts stuck in Onne Port",,"Nov 18, 2021","Makers of footwear in Aba, cars and other household consumables in South-Eastern Nigeria that depend on Onne Port, the gateway..."
